Iteration 1: c = ), s = , state = 0
Iteration 2804: c = ), s = err, state = 9
Iteration 2805: c =  , s = trsr, state = 9
Iteration 2806: c = x, s = rt, state = 9
Iteration 2807: c = [, s = , state = 9
Iteration 2808: c = ), s = errstr, state = 9
Iteration 2809: c = [, s = tsrtes, state = 9
Iteration 2810: c =  , s = , state = 9
Iteration 2811: c = (, s = tssstt, state = 9
Iteration 2812: c = }, s = trstes, state = 9
Iteration 2813: c = ], s = reerse, state = 9
Iteration 2814: c = ], s = ttsett, state = 9
Iteration 2815: c = [, s = stere, state = 9
Iteration 2816: c = ), s = tess, state = 9
Iteration 2817: c = ], s = trr, state = 9
Iteration 2818: c = [, s = , state = 9
Iteration 2819: c = ], s = eetsts, state = 9
Iteration 2820: c =  , s = ttrrst, state = 9
Iteration 2821: c = (, s = tsrs, state = 9
Iteration 2822: c = {, s = r, state = 9
Iteration 2823: c = (, s = , state = 9
Iteration 2824: c =  , s = tt, state = 9
Iteration 2825: c = (, s = e, state = 9
Iteration 2826: c = a, s = , state = 9
Iteration 2827: c = (, s = esr, state = 9
Iteration 2828: c = {, s = eerrst, state = 9
Iteration 2829: c = x, s = etess, state = 9
Iteration 2830: c = ], s = ersr, state = 9
Iteration 2831: c = ), s = , state = 9
Iteration 2832: c = [, s = rrer, state = 9
Iteration 2833: c = ], s = ttrrse, state = 9
Iteration 2834: c =  , s = , state = 9
Iteration 2835: c = (, s = , state = 9
Iteration 2836: c = x, s = , state = 9
Iteration 2837: c = }, s = r, state = 9
Iteration 2838: c = ], s = tettee, state = 9
Iteration 2839: c =  , s = etetss, state = 9
Iteration 2840: c = ), s = ess, state = 9
Iteration 2841: c = x, s = , state = 9
Iteration 2842: c = }, s = rette, state = 9
Iteration 2843: c = }, s = ttsrss, state = 9
Iteration 2844: c = }, s = , state = 9
Iteration 2845: c = (, s = , state = 9
Iteration 2846: c = a, s = , state = 9
Iteration 2847: c =  , s = eetrtr, state = 9
Iteration 2848: c = (, s = rtettr, state = 9
Iteration 2849: c = {, s = estrr, state = 9
Iteration 2850: c = x, s = esrtet, state = 9
Iteration 2851: c = ], s = e, state = 9
Iteration 2852: c = x, s = , state = 9
Iteration 2853: c = a, s = srtss, state = 9
Iteration 2854: c = ], s = ests, state = 9
Iteration 2855: c = x, s = eetete, state = 9
Iteration 2856: c =  , s = tt, state = 9
Iteration 2857: c = (, s = sss, state = 9
Iteration 2858: c = x, s = , state = 9
Iteration 2859: c =  , s = , state = 9
Iteration 2860: c = ), s = esrr, state = 9
Iteration 2861: c = [, s = e, state = 9
Iteration 2862: c = }, s = e, state = 9
Iteration 2863: c = (, s = eest, state = 9
Iteration 2864: c = ), s = r, state = 9
Iteration 2865: c = x, s = se, state = 9
Iteration 2866: c =  , s = reests, state = 9
Iteration 2867: c = }, s = ee, state = 9
Iteration 2868: c =  , s = teet, state = 9
Iteration 2869: c = a, s = se, state = 9
Iteration 2870: c = a, s = er, state = 9
Iteration 2871: c = a, s = ereee, state = 9
Iteration 2872: c = ], s = tse, state = 9
Iteration 2873: c = a, s = rettes, state = 9
Iteration 2874: c = ], s = ts, state = 9
Iteration 2875: c = {, s = ttrtrr, state = 9
Iteration 2876: c = ), s = r, state = 9
Iteration 2877: c = [, s = , state = 9
Iteration 2878: c = x, s = teess, state = 9
Iteration 2879: c = }, s = r, state = 9
Iteration 2880: c = }, s = ere, state = 9
Iteration 2881: c = }, s = , state = 9
Iteration 2882: c = }, s = t, state = 9
Iteration 2883: c = x, s = ssesrt, state = 9
Iteration 2884: c = (, s = esstes, state = 9
Iteration 2885: c = {, s = r, state = 9
Iteration 2886: c = (, s = s, state = 9
Iteration 2887: c = a, s = rsests, state = 9
Iteration 2888: c =  , s = , state = 9
Iteration 2889: c = {, s = rret, state = 9
Iteration 2890: c = a, s = sse, state = 9
Iteration 2891: c =  , s = srsst, state = 9
Iteration 2892: c =  , s = se, state = 9
Iteration 2893: c =  , s = errsse, state = 9
Iteration 2894: c = }, s = tt, state = 9
Iteration 2895: c = x, s = s, state = 9
Iteration 2896: c = (, s = etrtrr, state = 9
Iteration 2897: c = ), s = eee, state = 9
Iteration 2898: c =  , s = ssesre, state = 9
Iteration 2899: c = {, s = eets, state = 9
Iteration 2900: c = (, s = r, state = 9
Iteration 2901: c = }, s = eer, state = 9
Iteration 2902: c = ), s = , state = 9
Iteration 2903: c = (, s = ssrrsr, state = 9
Iteration 2904: c = (, s = rt, state = 9
Iteration 2905: c = (, s = te, state = 9
Iteration 2906: c = ), s = tttsrt, state = 9
Iteration 2907: c = ), s = , state = 9
Iteration 2908: c = x, s = , state = 9
Iteration 2909: c = a, s = rte, state = 9
Iteration 2910: c = (, s = sessts, state = 9
Iteration 2911: c = {, s = teee, state = 9
Iteration 2912: c = ), s = tsesss, state = 9
Iteration 2913: c = a, s = rettrt, state = 9
Iteration 2914: c = ], s = rt, state = 9
Iteration 2915: c = x, s = re, state = 9
Iteration 2916: c = }, s = rt, state = 9
Iteration 2917: c = a, s = e, state = 9
Iteration 2918: c = x, s = rseret, state = 9
Iteration 2919: c = [, s = e, state = 9
Iteration 2920: c = {, s = se, state = 9
Iteration 2921: c = }, s = esstts, state = 9
Iteration 2922: c = (, s = sreete, state = 9
Iteration 2923: c = (, s = ttsr, state = 9
Iteration 2924: c = [, s = srttrs, state = 9
Iteration 2925: c = }, s = er, state = 9
Iteration 2926: c = }, s = t, state = 9
Iteration 2927: c = ), s = , state = 9
Iteration 2928: c = }, s = ess, state = 9
Iteration 2929: c = ), s = sts, state = 9
Iteration 2930: c = ], s = , state = 9
Iteration 2931: c = [, s = , state = 9
Iteration 2932: c = }, s = rssrrt, state = 9
Iteration 2933: c = }, s = retsrs, state = 9
Iteration 2934: c =  , s = s, state = 9
Iteration 2935: c = {, s = , state = 9
Iteration 2936: c = a, s = sre, state = 9
Iteration 2937: c = ], s = e, state = 9
Iteration 2938: c = x, s = , state = 9
Iteration 2939: c = ), s = , state = 9
Iteration 2940: c = [, s = etrst, state = 9
Iteration 2941: c = x, s = srts, state = 9
Iteration 2942: c = }, s = srerte, state = 9
Iteration 2943: c = ), s = , state = 9
Iteration 2944: c = a, s = r, state = 9
Iteration 2945: c =  , s = sr, state = 9
Iteration 2946: c = ), s = tsests, state = 9
Iteration 2947: c =  , s = s, state = 9
Iteration 2948: c =  , s = , state = 9
Iteration 2949: c = [, s = te, state = 9
Iteration 2950: c = }, s = ette, state = 9
Iteration 2951: c =  , s = ee, state = 9
Iteration 2952: c = a, s = seesee, state = 9
Iteration 2953: c = }, s = trrser, state = 9
Iteration 2954: c = ), s = esr, state = 9
Iteration 2955: c = ), s = tset, state = 9
Iteration 2956: c = [, s = , state = 9
Iteration 2957: c = a, s = eeste, state = 9
Iteration 2958: c = x, s = es, state = 9
Iteration 2959: c = ), s = rstrrr, state = 9
Iteration 2960: c =  , s = s, state = 9
Iteration 2961: c = [, s = e, state = 9
Iteration 2962: c =  , s = e, state = 9
Iteration 2963: c = ], s = , state = 9
Iteration 2964: c = {, s = , state = 9
Iteration 2965: c = x, s = rs, state = 9
Iteration 2966: c = }, s = , state = 9
Iteration 2967: c = (, s = erstsr, state = 9
Iteration 2968: c = [, s = etettt, state = 9
Iteration 2969: c = ], s = strers, state = 9
Iteration 2970: c = (, s = r, state = 9
Iteration 2971: c = ], s = eseser, state = 9
Iteration 2972: c = a, s = , state = 9
Iteration 2973: c =  , s = ess, state = 9
Iteration 2974: c =  , s = sr, state = 9
Iteration 2975: c = x, s = t, state = 9
Iteration 2976: c = {, s = srrr, state = 9
Iteration 2977: c = ], s = eess, state = 9
Iteration 2978: c = ], s = tseee, state = 9
Iteration 2979: c = x, s = , state = 9
Iteration 2980: c = {, s = ettsrt, state = 9
Iteration 2981: c = (, s = ste, state = 9
Iteration 2982: c = ), s = tss, state = 9
Iteration 2983: c = x, s = , state = 9
Iteration 2984: c =  , s = trrtrt, state = 9
Iteration 2985: c = ], s = rsssrt, state = 9
Iteration 2986: c = a, s = rss, state = 9
Iteration 2987: c = }, s = , state = 9
Iteration 2988: c = x, s = , state = 9
Iteration 2989: c = ], s = , state = 9
Iteration 2990: c = [, s = tet, state = 9
Iteration 2991: c =  , s = ststts, state = 9
Iteration 2992: c =  , s = ree, state = 9
Iteration 2993: c = a, s = tttsrr, state = 9
Iteration 2994: c = {, s = ts, state = 9
Iteration 2995: c = }, s = et, state = 9
Iteration 2996: c = {, s = tsstss, state = 9
Iteration 2997: c = }, s = etrts, state = 9
Iteration 2998: c = ), s = t, state = 9
Iteration 2999: c = a, s = sssret, state = 9
Iteration 3000: c = }, s = , state = 9
Iteration 3001: c =  , s = r, state = 9
Iteration 3002: c = }, s = tss, state = 9
Iteration 3003: c = ], s = rsrste, state = 9
Iteration 3004: c = (, s = trtsrt, state = 9
Iteration 3005: c = a, s = srtese, state = 9
Iteration 3006: c =  , s = rr, state = 9
Iteration 3007: c = (, s = , state = 9
Iteration 3008: c =  , s = eertst, state = 9
Iteration 3009: c = }, s = ssstse, state = 9
Iteration 3010: c = {, s = resr, state = 9
Iteration 3011: c = a, s = e, state = 9
Iteration 3012: c = ], s = , state = 9
Iteration 3013: c = }, s = , state = 9
Iteration 3014: c = (, s = erseer, state = 9
Iteration 3015: c = [, s = , state = 9
Iteration 3016: c = [, s = , state = 9
Iteration 3017: c =  , s = , state = 9
Iteration 3018: c = [, s = t, state = 9
Iteration 3019: c = ], s = , state = 9
Iteration 3020: c = x, s = trresr, state = 9
Iteration 3021: c = {, s = ttrers, state = 9
Iteration 3022: c = {, s = trts, state = 9
Iteration 3023: c = (, s = rstrss, state = 9
Iteration 3024: c = }, s = , state = 9
Iteration 3025: c = x, s = rer, state = 9
Iteration 3026: c = ], s = eretrs, state = 9
Iteration 3027: c = (, s = trstes, state = 9
Iteration 3028: c = [, s = rteses, state = 9
Iteration 3029: c = a, s = s, state = 9
Iteration 3030: c = a, s = t, state = 9
Iteration 3031: c = [, s = t, state = 9
Iteration 3032: c = x, s = eeeres, state = 9
Iteration 3033: c = ], s = stt, state = 9
Iteration 3034: c = x, s = srre, state = 9
Iteration 3035: c = [, s = , state = 9
Iteration 3036: c = [, s = set, state = 9
Iteration 3037: c = ], s = t, state = 9
Iteration 3038: c =  , s = rr, state = 9
Iteration 3039: c = {, s = tt, state = 9
Iteration 3040: c = (, s = rsrsr, state = 9
Iteration 3041: c = ], s = , state = 9
Iteration 3042: c = (, s = , state = 9
Iteration 3043: c = [, s = sssrsr, state = 9
Iteration 3044: c = [, s = test, state = 9
Iteration 3045: c = (, s = se, state = 9
Iteration 3046: c = (, s = rtt, state = 9
Iteration 3047: c = [, s = r, state = 9
Iteration 3048: c = ), s = et, state = 9
Iteration 3049: c = ], s = , state = 9
Iteration 3050: c = ), s = stres, state = 9
Iteration 3051: c = x, s = ts, state = 9
Iteration 3052: c = ), s = ss, state = 9
Iteration 3053: c = a, s = r, state = 9
Iteration 3054: c = a, s = ttss, state = 9
Iteration 3055: c = }, s = rrtrte, state = 9
Iteration 3056: c = ], s = tr, state = 9
Iteration 3057: c = [, s = e, state = 9
Iteration 3058: c = (, s = estsrr, state = 9
Iteration 3059: c = }, s = , state = 9
Iteration 3060: c = x, s = teerrr, state = 9
Iteration 3061: c = x, s = eteeee, state = 9
Iteration 3062: c =  , s = , state = 9
Iteration 3063: c = (, s = rtssrr, state = 9
Iteration 3064: c = [, s = er, state = 9
Iteration 3065: c =  , s = , state = 9
Iteration 3066: c = }, s = e, state = 9
Iteration 3067: c = [, s = tte, state = 9
Iteration 3068: c = ), s = ssets, state = 9
Iteration 3069: c = ], s = t, state = 9
Iteration 3070: c = }, s = set, state = 9
Iteration 3071: c = ], s = rse, state = 9
Iteration 3072: c = [, s = tees, state = 9
Iteration 3073: c = }, s = eterte, state = 9
Iteration 3074: c = x, s = rree, state = 9
Iteration 3075: c = a, s = , state = 9
Iteration 3076: c = [, s = ss, state = 9
Iteration 3077: c = }, s = ste, state = 9
Iteration 3078: c = a, s = , state = 9
Iteration 3079: c =  , s = , state = 9
Iteration 3080: c = ], s = t, state = 9
Iteration 3081: c = ], s = tt, state = 9
Iteration 3082: c = ], s = s, state = 9
Iteration 3083: c =  , s = e, state = 9
Iteration 3084: c = x, s = ssrrts, state = 9
Iteration 3085: c = ], s = reette, state = 9
Iteration 3086: c = ], s = , state = 9
Iteration 3087: c = {, s = sess, state = 9
Iteration 3088: c = ], s = s, state = 9
Iteration 3089: c = (, s = rtsttr, state = 9
Iteration 3090: c = (, s = tress, state = 9
Iteration 3091: c = ], s = rte, state = 9
Iteration 3092: c =  , s = trerr, state = 9
Iteration 3093: c = ), s = rtetss, state = 9
Iteration 3094: c =  , s = seserr, state = 9
Iteration 3095: c = [, s = ts, state = 9
Iteration 3096: c = [, s = ss, state = 9
Iteration 3097: c = ], s = , state = 9
Iteration 3098: c = (, s = ttrer, state = 9
Iteration 3099: c = x, s = s, state = 9
Iteration 3100: c = [, s = essret, state = 9
Iteration 3101: c = ], s = tsrs, state = 9
Iteration 3102: c = x, s = rsttee, state = 9
Iteration 3103: c = {, s = , state = 9
Iteration 3104: c = [, s = retste, state = 9
Iteration 3105: c = ), s = trr, state = 9
Iteration 3106: c =  , s = et, state = 9
Iteration 3107: c = ), s = , state = 9
Iteration 3108: c = {, s = eets, state = 9
Iteration 3109: c = ], s = ertrtt, state = 9
Iteration 3110: c = {, s = ers, state = 9
Iteration 3111: c = {, s = rr, state = 9
Iteration 3112: c = ], s = , state = 9
Iteration 3113: c = }, s = estse, state = 9
Iteration 3114: c = {, s = eets, state = 9
Iteration 3115: c = ), s = rttrrs, state = 9
Iteration 3116: c = }, s = , state = 9
Iteration 3117: c = }, s = teertr, state = 9
Iteration 3118: c = [, s = rsrerr, state = 9
Iteration 3119: c = {, s = sr, state = 9
Iteration 3120: c = ], s = rtr, state = 9
Iteration 3121: c = a, s = rert, state = 9
Iteration 3122: c = ], s = se, state = 9
Iteration 3123: c = x, s = sssttr, state = 9
Iteration 3124: c =  , s = ttrtst, state = 9
Iteration 3125: c = x, s = , state = 9
Iteration 3126: c = a, s = rtters, state = 9
Iteration 3127: c = [, s = serr, state = 9
Iteration 3128: c = {, s = strrsr, state = 9
Iteration 3129: c = [, s = trtttt, state = 9
Iteration 3130: c = {, s = eesrrs, state = 9
Iteration 3131: c = ), s = t, state = 9
Iteration 3132: c = a, s = , state = 9
Iteration 3133: c =  , s = , state = 9
Iteration 3134: c = {, s = s, state = 9
Iteration 3135: c = (, s = e, state = 9
Iteration 3136: c = x, s = e, state = 9
Iteration 3137: c = ), s = r, state = 9
Iteration 3138: c = ], s = e, state = 9
Iteration 3139: c = }, s = rr, state = 9
Iteration 3140: c =  , s = rrse, state = 9
Iteration 3141: c = ), s = ssssrs, state = 9
Iteration 3142: c = (, s = , state = 9
Iteration 3143: c = ), s = ssse, state = 9
Iteration 3144: c = }, s = r, state = 9
Iteration 3145: c = [, s = sere, state = 9
Iteration 3146: c = ), s = st, state = 9
Iteration 3147: c = [, s = rrsest, state = 9
Iteration 3148: c = }, s = r, state = 9
Iteration 3149: c = {, s = eet, state = 9
Iteration 3150: c = (, s = ses, state = 9
Iteration 3151: c = (, s = , state = 9
Iteration 3152: c = {, s = etr, state = 9
Iteration 3153: c = x, s = trrrrt, state = 9
Iteration 3154: c = ), s = s, state = 9
Iteration 3155: c = }, s = ree, state = 9
Iteration 3156: c = {, s = te, state = 9
Iteration 3157: c = ), s = , state = 9
Iteration 3158: c = ], s = e, state = 9
Iteration 3159: c = }, s = rstrst, state = 9
Iteration 3160: c = [, s = ter, state = 9
Iteration 3161: c = {, s = se, state = 9
Iteration 3162: c = ], s = , state = 9
Iteration 3163: c = a, s = , state = 9
Iteration 3164: c = [, s = ree, state = 9
Iteration 3165: c =  , s = , state = 9
Iteration 3166: c = }, s = rer, state = 9
Iteration 3167: c = a, s = s, state = 9
Iteration 3168: c = ], s = seeess, state = 9
Iteration 3169: c = x, s = , state = 9
Iteration 3170: c = {, s = , state = 9
Iteration 3171: c =  , s = e, state = 9
Iteration 3172: c = }, s = teerse, state = 9
Iteration 3173: c =  , s = , state = 9
Iteration 3174: c = {, s = t, state = 9
Iteration 3175: c = ), s = steter, state = 9
Iteration 3176: c = ], s = errte, state = 9
Iteration 3177: c = [, s = s, state = 9
Iteration 3178: c = {, s = res, state = 9
Iteration 3179: c =  , s = r, state = 9
Iteration 3180: c = ], s = tt, state = 9
Iteration 3181: c = {, s = srretr, state = 9
Iteration 3182: c = x, s = eeses, state = 9
Iteration 3183: c = ), s = rrtet, state = 9
Iteration 3184: c = }, s = sttrse, state = 9
Iteration 3185: c = (, s = , state = 9
Iteration 3186: c = ], s = , state = 9
Iteration 3187: c = a, s = trttsr, state = 9
Iteration 3188: c = ], s = rsserr, state = 9
Iteration 3189: c = {, s = te, state = 9
Iteration 3190: c = ), s = tetses, state = 9
Iteration 3191: c = x, s = stteer, state = 9
Iteration 3192: c = x, s = strse, state = 9
Iteration 3193: c = x, s = , state = 9
Iteration 3194: c = (, s = eester, state = 9
Iteration 3195: c = ), s = seeeet, state = 9
Iteration 3196: c = [, s = e, state = 9
Iteration 3197: c = {, s = tree, state = 9
Iteration 3198: c = (, s = , state = 9
Iteration 3199: c = (, s = tsses, state = 9
Iteration 3200: c = x, s = , state = 9
Iteration 3201: c =  , s = tsr, state = 9
Iteration 3202: c = [, s = err, state = 9
Iteration 3203: c = (, s = setes, state = 9
Iteration 3204: c = (, s = trr, state = 9
Iteration 3205: c = ], s = ertre, state = 9
Iteration 3206: c =  , s = trrrrr, state = 9
Iteration 3207: c = a, s = r, state = 9
Iteration 3208: c = a, s = rt, state = 9
Iteration 3209: c = ], s = , state = 9
Iteration 3210: c = ], s = , state = 9
Iteration 3211: c = }, s = s, state = 9
Iteration 3212: c = x, s = sr, state = 9
Iteration 3213: c = ), s = , state = 9
Iteration 3214: c = ], s = t, state = 9
Iteration 3215: c = }, s = , state = 9
Iteration 3216: c = x, s = etts, state = 9
Iteration 3217: c = ], s = , state = 9
Iteration 3218: c =  , s = re, state = 9
Iteration 3219: c = x, s = eee, state = 9
Iteration 3220: c = {, s = sr, state = 9
Iteration 3221: c = }, s = , state = 9
Iteration 3222: c =  , s = eetrse, state = 9
Iteration 3223: c = x, s = str, state = 9
Iteration 3224: c = ), s = stt, state = 9
Iteration 3225: c = a, s = , state = 9
Iteration 3226: c = [, s = rs, state = 9
Iteration 3227: c = ], s = e, state = 9
Iteration 3228: c = [, s = rsrerr, state = 9
Iteration 3229: c = ), s = , state = 9
Iteration 3230: c = ), s = rerrs, state = 9
Iteration 3231: c = }, s = etssse, state = 9
Iteration 3232: c = {, s = sttsr, state = 9
Iteration 3233: c = {, s = r, state = 9
Iteration 3234: c = a, s = seeees, state = 9
Iteration 3235: c = ], s = rrsrer, state = 9
Iteration 3236: c = ), s = seret, state = 9
Iteration 3237: c = x, s = teetre, state = 9
Iteration 3238: c = ], s = tesret, state = 9
Iteration 3239: c = ], s = , state = 9
Iteration 3240: c = (, s = et, state = 9
Iteration 3241: c = }, s = , state = 9
Iteration 3242: c = ), s = e, state = 9
Iteration 3243: c = ], s = e, state = 9
Iteration 3244: c = {, s = er, state = 9
Iteration 3245: c = a, s = , state = 9
Iteration 3246: c = {, s = tere, state = 9
Iteration 3247: c =  , s = , state = 9
Iteration 3248: c = ], s = , state = 9
Iteration 3249: c = ), s = , state = 9
Iteration 3250: c = [, s = ttsste, state = 9
Iteration 3251: c =  , s = t, state = 9
Iteration 3252: c = x, s = st, state = 9
Iteration 3253: c = }, s = rs, state = 9
Iteration 3254: c = }, s = r, state = 9
Iteration 3255: c = [, s = rt, state = 9
Iteration 3256: c = (, s = tresrt, state = 9
Iteration 3257: c = }, s = , state = 9
Iteration 3258: c = }, s = , state = 9
Iteration 3259: c = }, s = seesrt, state = 9
Iteration 3260: c = a, s = ertses, state = 9
Iteration 3261: c = a, s = ere, state = 9
Iteration 3262: c = x, s = , state = 9
Iteration 3263: c = {, s = reeese, state = 9
Iteration 3264: c = ], s = trrttt, state = 9
Iteration 3265: c = a, s = re, state = 9
Iteration 3266: c = a, s = ee, state = 9
Iteration 3267: c = ), s = serese, state = 9
Iteration 3268: c = [, s = , state = 9
Iteration 3269: c = x, s = tssets, state = 9
Iteration 3270: c = ), s = eeree, state = 9
Iteration 3271: c = }, s = r, state = 9
Iteration 3272: c = [, s = teesst, state = 9
Iteration 3273: c = }, s = sesert, state = 9
Iteration 3274: c = a, s = te, state = 9
Iteration 3275: c = x, s = tet, state = 9
Iteration 3276: c = }, s = r, state = 9
Iteration 3277: c = ], s = t, state = 9
Iteration 3278: c = (, s = t, state = 9
Iteration 3279: c = }, s = ttrser, state = 9
Iteration 3280: c = (, s = t, state = 9
Iteration 3281: c = (, s = rsserr, state = 9
Iteration 3282: c = }, s = tttttt, state = 9
Iteration 3283: c = ), s = trs, state = 9
Iteration 3284: c =  , s = seere, state = 9
Iteration 3285: c = {, s = , state = 9
Iteration 3286: c = (, s = strs, state = 9
Iteration 3287: c = a, s = estrte, state = 9
Iteration 3288: c = ], s = rt, state = 9
Iteration 3289: c = [, s = rs, state = 9
Iteration 3290: c =  , s = re, state = 9
Iteration 3291: c = ), s = tstt, state = 9
Iteration 3292: c = x, s = sesetr, state = 9
Iteration 3293: c = [, s = , state = 9
Iteration 3294: c =  , s = resses, state = 9
Iteration 3295: c = x, s = , state = 9
Iteration 3296: c = a, s = rrrert, state = 9
Iteration 3297: c = a, s = t, state = 9
Iteration 3298: c = }, s = setee, state = 9
Iteration 3299: c = {, s = ttsesr, state = 9
Iteration 3300: c = }, s = , state = 9
Iteration 3301: c = (, s = tret, state = 9
Iteration 3302: c = [, s = , state = 9
Iteration 3303: c =  , s = , state = 9
Iteration 3304: c = ), s = , state = 9
Iteration 3305: c = ), s = srrsrs, state = 9
Iteration 3306: c = (, s = ststrs, state = 9
Iteration 3307: c = ], s = sr, state = 9
Iteration 3308: c = }, s = srrtes, state = 9
Iteration 3309: c = [, s = ere, state = 9
Iteration 3310: c = [, s = ttt, state = 9
Iteration 3311: c = ), s = ssrrt, state = 9
Iteration 3312: c = (, s = e, state = 9
Iteration 3313: c = [, s = esess, state = 9
Iteration 3314: c =  , s = , state = 9
Iteration 3315: c = (, s = essste, state = 9
Iteration 3316: c = a, s = s, state = 9
Iteration 3317: c = ], s = test, state = 9
Iteration 3318: c = {, s = ers, state = 9
Iteration 3319: c = {, s = , state = 9
Iteration 3320: c = ), s = est, state = 9
Iteration 3321: c = x, s = rse, state = 9
Iteration 3322: c = a, s = srt, state = 9
Iteration 3323: c = }, s = esre, state = 9
Iteration 3324: c = [, s = trerse, state = 9
Iteration 3325: c = {, s = rrrrse, state = 9
Iteration 3326: c = x, s = r, state = 9
Iteration 3327: c = a, s = tttsre, state = 9
Iteration 3328: c =  , s = , state = 9
Iteration 3329: c =  , s = , state = 9
Iteration 3330: c = a, s = rssttt, state = 9
Iteration 3331: c =  , s = , state = 9
Iteration 3332: c = a, s = t, state = 9
Iteration 3333: c = ], s = , state = 9
Iteration 3334: c = [, s = e, state = 9
Iteration 3335: c = {, s = res, state = 9
Iteration 3336: c = {, s = e, state = 9
Iteration 3337: c =  , s = s, state = 9
Iteration 3338: c = }, s = srt, state = 9
Iteration 3339: c = ], s = eree, state = 9
Iteration 3340: c = {, s = trres, state = 9
Iteration 3341: c = (, s = ser, state = 9
Iteration 3342: c = (, s = sss, state = 9
Iteration 3343: c = ], s = ttsttr, state = 9
Iteration 3344: c = ), s = etts, state = 9
Iteration 3345: c = (, s = r, state = 9
Iteration 3346: c = ), s = , state = 9
Iteration 3347: c = a, s = setrr, state = 9
Iteration 3348: c = ], s = , state = 9
Iteration 3349: c = {, s = t, state = 9
Iteration 3350: c = x, s = treeet, state = 9
Iteration 3351: c = x, s = tre, state = 9
Iteration 3352: c = x, s = ress, state = 9
Iteration 3353: c = ], s = , state = 9
Iteration 3354: c = (, s = etse, state = 9
Iteration 3355: c = ], s = t, state = 9
Iteration 3356: c = a, s = , state = 9
Iteration 3357: c = x, s = ts, state = 9
Iteration 3358: c = {, s = srttes, state = 9
Iteration 3359: c = x, s = tsrrtr, state = 9
Iteration 3360: c = }, s = tseeer, state = 9
Iteration 3361: c = }, s = estr, state = 9
Iteration 3362: c = x, s = ttrser, state = 9
Iteration 3363: c = ), s = eetr, state = 9
Iteration 3364: c = }, s = sstret, state = 9
Iteration 3365: c =  , s = eeesst, state = 9
Iteration 3366: c = (, s = rt, state = 9
Iteration 3367: c = a, s = re, state = 9
Iteration 3368: c = ), s = t, state = 9
Iteration 3369: c = [, s = , state = 9
Iteration 3370: c = a, s = se, state = 9
Iteration 3371: c = ], s = ettere, state = 9
Iteration 3372: c = ), s = tsesss, state = 9
Iteration 3373: c = (, s = , state = 9
Iteration 3374: c = ], s = , state = 9
Iteration 3375: c = ), s = srtst, state = 9
Iteration 3376: c = {, s = er, state = 9
Iteration 3377: c = (, s = sserts, state = 9
Iteration 3378: c = [, s = eerttr, state = 9
Iteration 3379: c = ], s = ettse, state = 9
Iteration 3380: c = (, s = trsrrs, state = 9
Iteration 3381: c = {, s = ssrt, state = 9
Iteration 3382: c = [, s = tsrtsr, state = 9
Iteration 3383: c =  , s = , state = 9
Iteration 3384: c = {, s = estst, state = 9
Iteration 3385: c = }, s = , state = 9
Iteration 3386: c =  , s = , state = 9
Iteration 3387: c =  , s = , state = 9
Iteration 3388: c =  , s = ttree, state = 9
Iteration 3389: c = [, s = tet, state = 9
Iteration 3390: c = (, s = e, state = 9
Iteration 3391: c = [, s = srteer, state = 9
Iteration 3392: c =  , s = ttssse, state = 9
Iteration 3393: c = }, s = , state = 9
Iteration 3394: c =  , s = st, state = 9
Iteration 3395: c = (, s = tte, state = 9
Iteration 3396: c = [, s = ter, state = 9
Iteration 3397: c = ), s = eetree, state = 9
Iteration 3398: c = a, s = se, state = 9
Iteration 3399: c = ), s = eesser, state = 9
Iteration 3400: c = a, s = testes, state = 9
Iteration 3401: c = a, s = stssr, state = 9
Iteration 3402: c = [, s = r, state = 9
Iteration 3403: c =  , s = setrs, state = 9
Iteration 3404: c =  , s = , state = 9
Iteration 3405: c = x, s = , state = 9
Iteration 3406: c = ], s = , state = 9
Iteration 3407: c = ), s = ts, state = 9
Iteration 3408: c = (, s = etetee, state = 9
Iteration 3409: c = a, s = s, state = 9
Iteration 3410: c =  , s = t, state = 9
Iteration 3411: c = a, s = rsst, state = 9
Iteration 3412: c = a, s = , state = 9
Iteration 3413: c =  , s = s, state = 9
Iteration 3414: c = x, s = srt, state = 9
Iteration 3415: c = [, s = strsrs, state = 9
Iteration 3416: c = }, s = serrtt, state = 9
Iteration 3417: c = }, s = ete, state = 9
Iteration 3418: c = }, s = tteeee, state = 9
Iteration 3419: c = (, s = , state = 9
Iteration 3420: c = ), s = , state = 9
Iteration 3421: c = a, s = ss, state = 9
Iteration 3422: c = ], s = tttste, state = 9
Iteration 3423: c = ], s = rsssee, state = 9
Iteration 3424: c =  , s = tteser, state = 9
Iteration 3425: c = ], s = r, state = 9
Iteration 3426: c = [, s = r, state = 9
Iteration 3427: c = }, s = , state = 9
Iteration 3428: c =  , s = , state = 9
Iteration 3429: c = ], s = , state = 9
Iteration 3430: c = (, s = trt, state = 9
Iteration 3431: c = x, s = , state = 9
Iteration 3432: c =  , s = erttsr, state = 9
Iteration 3433: c = {, s = ret, state = 9
Iteration 3434: c = a, s = setrer, state = 9
Iteration 3435: c = [, s = er, state = 9
Iteration 3436: c = ), s = rstrst, state = 9
Iteration 3437: c = {, s = r, state = 9
Iteration 3438: c = a, s = , state = 9
Iteration 3439: c = x, s = , state = 9
Iteration 3440: c = {, s = etrree, state = 9
